,Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
0,0,Randy Livingston,HOU,22,193.04,94.800728,Louisiana State,USA,1996,2,42,64,3.9,1.5,2.4,0.3,0.042,0.071,0.1689999999999999,0.487,0.248,1996-97
1,1,Gaylon Nickerson,WAS,28,190.5,86.18248,Northwestern Oklahoma,USA,1994,2,34,4,3.8,1.3,0.3,8.9,0.03,0.111,0.174,0.497,0.043,1996-97
2,2,George Lynch,VAN,26,203.2,103.418976,North Carolina,USA,1993,1,12,41,8.3,6.4,1.9,-8.2,0.106,0.185,0.175,0.512,0.125,1996-97
3,3,George McCloud,LAL,30,203.2,102.0582,Florida State,USA,1989,1,7,64,10.2,2.8,1.7,-2.7,0.027,0.111,0.206,0.527,0.125,1996-97
4,4,George Zidek,DEN,23,213.36,119.748288,UCLA,USA,1995,1,22,52,2.8,1.7,0.3,-14.1,0.102,0.1689999999999999,0.195,0.5,0.064,1996-97
5,5,Gerald Wilkins,ORL,33,198.12,102.0582,Tennessee-Chattanooga,USA,1985,2,47,80,10.6,2.2,2.2,-5.8,0.031,0.064,0.203,0.503,0.143,1996-97
6,6,Gheorghe Muresan,WAS,26,231.14,137.438376,,USA,1993,2,30,73,10.6,6.6,0.4,6.9,0.098,0.217,0.185,0.618,0.024,1996-97
7,7,Glen Rice,CHH,30,203.2,99.79024,Michigan,USA,1989,1,4,79,26.8,4,2,3.2,0.025,0.087,0.272,0.605,0.088,1996-97
8,8,Glenn Robinson,MIL,24,200.66,106.59412,Purdue,USA,1994,1,1,80,21.1,6.3,3.1,-2.9,0.051,0.144,0.278,0.528,0.146,1996-97
9,9,Grant Hill,DET,24,203.2,102.0582,Duke,USA,1994,1,3,80,21.4,9,7.3,6.9,0.049,0.2319999999999999,0.283,0.556,0.356,1996-97
10,10,Gary Trent,POR,22,203.2,113.398,Ohio,USA,1995,1,11,82,10.8,5.2,1.1,2.5,0.1009999999999999,0.1669999999999999,0.212,0.569,0.077,1996-97
11,11,Grant Long,DET,31,205.74,112.490816,Eastern Michigan,USA,1988,2,33,65,5,3.4,0.6,4,0.096,0.15,0.154,0.523,0.0579999999999999,1996-97
12,12,Greg Anthony,VAN,29,185.42,81.64656,Nevada-Las Vegas,USA,1991,1,12,65,9.5,2.8,6.3,-9.4,0.015,0.099,0.177,0.526,0.358,1996-97
13,13,Greg Dreiling,DAL,33,215.9,120.20188,Kansas,USA,1986,2,26,40,2,1.9,0.3,-8,0.059,0.192,0.114,0.466,0.048,1996-97
14,14,Greg Foster,UTA,28,210.82,113.398,Texas-El Paso,USA,1990,2,35,79,3.5,2.4,0.4,-0.9,0.078,0.166,0.168,0.508,0.055,1996-97
15,15,Greg Graham,SEA,26,193.04,82.553744,Indiana,USA,1993,1,17,28,3.3,0.5,0.4,3.6,0.013,0.063,0.245,0.476,0.1,1996-97
16,16,Greg Minor,BOS,25,198.12,95.25432,Louisville,USA,1994,1,25,23,9.6,3.5,1.5,-2.1,0.0579999999999999,0.11,0.1889999999999999,0.519,0.103,1996-97
17,17,Greg Ostertag,UTA,24,218.44,127.00576,Kansas,USA,1995,1,28,77,7.3,7.3,0.4,15.9,0.133,0.246,0.146,0.561,0.021,1996-97
